####################################################################################
###FoI Names########################################################################
####################################################################################
43 = "Gdanjsk"					#Danzig
60 = "Budishin"					#Bautzen
76 = "Malo Solnograd"			#Salzburg/Salcburg
101 = "Dzenova"					#Genoa/Genova
102 = "Nica"					#Nice
103 = "Torino"					#Turin
104 = "Milano"					#Milan
109 = "Mantova"					#Mantua
111 = "Furlanija"				#Friuli
112 = "Mleci"					#Venezia/Venecija Mletachka/Mletacka
115 = "Piza"					#Pisa
116 = "Firenca"					#Firenze
117 = "Sijena"					#Siena
118 = "Rim"						#Roma
119 = "Ankona"					#Ancona
121 = "Neapulj"					#Napoli
122 = "Apulija"					#Apulia
123 = "Kalabrija"				#Calabria
125 = "Panormos"				#Palermo
126 = "Mljet"					#Melita
128 = "Celovac"					#Unterkärnten Korushka/Karnten
129 = "Kranjska"				#Krain
130 = "Istra"					#Istria
131 = "Zagreb"					#Zagreb
132 = "Shtajerska"				#Steiermark
133 = "Linc"					#Linz
134 = "Bec"						#Wien/Bech
136 = "Split"					#Spalato
137 = "Dubrovnik"				#Ragusa
138 = "Crna Gora"				#Zeta/Montenegro
139 = "Hum"						#Hum/Zahumlje
140 = "Bosna"					#Bosnia
141 = "Smederevo"				#Smederevo
142 = "Kerkira"					#Corfu/Krf
143 = "Valona"					#Vlore/Vlora
144 = "Epir"					#Epirus
145 = "Moreja"					#Morea
146 = "Atina"					#Athens
147 = "Tesalija"				#Thessaly
148 = "Solun"					#Thessaloniki
149 = "Drinopolje"				#Edirne
150 = "Tugorska"				#Nikopolj
151 = "Carigrad"				#Constantinople/Konstantinopolj
152 = "Dravograd"				#Varasd/Varashdin
153 = "Pecina"					#Pest/Peshta/Peshtera
154 = "Nove Zamki"				#Ersekujvar Njitra
156 = "Tamishgrad"				#Temes Temishvar
157 = "Gòlemgrad"				#Golyamgrad
158 = "Morish"					#Maros
159 = "Silistra"				#Silistria/Drastar
160 = "Oltenija"				#Oltenia
161 = "Trgovishte"				#Tirgoviste
162 = "Koshice"					#Košice
163 = "Krit"					#Crete/Kreta
164 = "Naksos"					#Naxos/Cyclades/Cikladi/Kikladi
227 = "Olisipona"				#Ossonoba/Olisipo/Olisipon/Lisabón
261 = "Galic"					#Halicz/Halic/Galich
262 = "Krakov"					#Krakow
264 = "Vratislav"				#Breslau/Vratislavija
266 = "Prag"					#Prague
267 = "Plzenj"					#Plzen
268 = "Sucava"					#Suceava/Suchava
271 = "Zhemajtija"				#Samogitia
272 = "Vilno"					#Vilna
273 = "Latgalija" 				#Latgalia
279 = "Volinj"					#Volhynia
280 = "Kijev"					#Kiev
283 = "Zaporoshka"				#Zaporozhia
284 = "Krim"					#Crimea
