####################################################################################
###FoI Names########################################################################
####################################################################################
12 = "Sheland"                      #Sjælland
13 = "Shlezvig"                     #Slesvig
32 = "Korela"                       #Kexholm
33 = "Nevá"                         #Neva
34 = "Ingriya"                      #Ingermanland / Izhora / Ingermanlandiya
43 = "Gdansk"                       #Gdunsk / Dantsig
44 = "Khamburg"						#Hamburg
45 = "Lyubek"						#Lübeck
47 = "Shtralzund"                   #Stralsund
48 = "Kholberg"                     #Kolberg
49 = "Noimark"						#Neumark
50 = "Berlìn"                       #Berlin
51 = "Rupin"                        #Ruppin
53 = "Lyuneburg"                    #Lüneburg
54 = "Shtade"                       #Stade
58 = "Ankhalt"                      #Anhalt
59 = "Vitenberg"                    #Wittenberg
60 = "Bautsen"                      #Bautzen
61 = "Drezhdany"                    #Dresden
62 = "Laiptsig"                     #Leipzig
64 = "Landskhut"                    #Landshut
65 = "Myunkhen"                     #München / Munich
67 = "Nyurnberg"                    #Nürnberg
68 = "Memingen"                     #Memmingen
70 = "Shtutgart"                    #Stuttgart
71 = "Ansbakh"                      #Ansbach
73 = "Intal"                        #Inntal / Indolina
76 = "Zàltsburg"                    #Salzburg Salty bois
100 = "Friziya"                     #Friesland
101 = "Génua"						#Genoa
102 = "Nitsa"						#Nice
103 = "Torino"                      #Turin
104 = "Milano"                      #Milan
105 = "Pàrma"                       #Parma
106 = "Módena"                      #Modena
107 = "Brèsha"						#Brescia
108 = "Veròna"                      #Verona
109 = "Mantua"                      #Mantua
110 = "Trènto"						#Trent
111 = "Furlaniya"                   #Friuli / Furlandiya
112 = "Venetsiya"                   #Venezia / Venice
113 = "Feràra"						#Ferrara
114 = "Ravèna"						#Ravenna
115 = "Piza"						#Pisa
116 = "Florentsiya"					#Firenze
117 = "Sièna"                       #Siena
118 = "Rim"							#Roma
119 = "Ankóna"						#Ancona
120 = "Abrutso"						#Abruzzi
121 = "Neapol"						#Napoli / Naples
122 = "Salentina"                   #Salento
123 = "Kalabriya"					#Calabria
124 = "Mesina"						#Messina
125 = "Panormos"                    #Palermo
126 = "Melit"                       #Malta 
127 = "Sàsari"                      #Sassari / Sazer
128 = "Dolna Karintiya"		        #Unterkärnten
129 = "Karniola"					#Krain Kraina 
130 = "Istriya"						#Istria
131 = "Zagreb"                      #Zagreb / Agram
132 = "Shtiriya"                    #Steiermark / Styria
133 = "Nad Ens"                     #Ob der Enns
134 = "Viéna"						#Wien / Viyena
135 = "Shopron"						#Sopron
136 = "Split"                       #Spalato / Split
137 = "Dubrovnik"                   #Ragusa
138 = "Cherna Gora"					#Zeta
139 = "Zakhulmieto"                 #Hum
140 = "Bosna"						#Bosnia	
141 = "Sméderevo"     	  			#Smederevo
142 = "Kerkira"         			#Korfu Corfu
143 = "Valona"						#Vlore / Vljora
144 = "Epir"						#Epirus
145 = "Moreya"                      #Morea
146 = "Atína"         				#Athens
147 = "Tesaliya"					#Thessaly
148 = "Sólun"          			    #Thessaloniki / Tesaloniki
149 = "Adrianopol"         			#Edirne
150 = "Tugoriya"				    #Pleven Nikopolis Tugorutku
151 = "Tsarigrad"     				#Constantinople
152 = "Varázhdin"					#Varasd
153 = "Peshterá"					#Pest / Peshta	or Pesha
154 = "Nove Zamki"					#Érsekújvár
155 = "Bregovo"						#Békés / Bekesh
156 = "Timish"						#Temes / Tamish
157 = "Golyamgrad"					#Oradya / Bihar / Krishana
158 = "Muresh"						#Maros / Marosh
159 = "Silìstra"                    #Silistra
160 = "Olteniya"					#Oltenia
161 = "Turgovishte"					#Tirgoviste
162 = "Zemplin"                     #Zemplin / Koshitse Koshice
163 = "Krit"          				#Crete
164 = "Naksos"                      #Naxos
165 = "Bern"                        #Bern
174 = "Bordò"						#Bordeaux
183 = "Parizh"						#Paris
189 = "Lotaringiya"					#Lothringen 
196 = "Tuluza"						#Toulouse
205 = "Shamberì"					#Chambery
226 = "Mons Kalpe"                  #Gibraltar
227 = "Olisipona"		            #Olisipo / Lisbon
247 = "Kumbriya"					#Cumbria
254 = "Pòznan"                      #Poznan
255 = "Kàlish"                      #Kalisz
256 = "Plotsk"                      #Plock
257 = "Varshava"                    #Warsaw
258 = "Shèradz"                     #Sieradz
259 = "Sandòmezh"                   #Sandomierz
260 = "Lyùblin"                     #Lublin
261 = "Khalich"                     #Halicz / Galich
262 = "Kràkov"						#Krakow
263 = "Ratibor"                     #Ratibor / Rachìbuzh
264 = "Vrotslav"                    #Wroclaw
265 = "Burno"						#Brno
266 = "Praga"						#Praha
267 = "Pilzen"                      #Plzen
268 = "Suchava"					    #Suceava
269 = "Podlyàshe"                   #Podlasie Podlyasiya
271 = "Zhemaitiya"                  #Samogitia
274 = "Pskov"                       #Pskov
275 = "Pòlotsk"                     #Polotsk / Pòlatsk 
276 = "Minsk"                       #Minsk
277 = "Brest"                       #Brest
278 = "Pinsk"                       #Pinsk
279 = "Voliniya"					#Volhynia
280 = "Kìev"                        #Kiev
281 = "Podoliya"                    #Podolia / Podolie
282 = "Edisan"                      #Yedisan
283 = "Zaporózhie"					#Zaporozhia
284 = "Krim"						#Crimea	/ Telets Teletsut
285 = "Teodosíya"                   #Theodosia / Feodosiya
286 = "Azóv"                        #Azov / Azak
287 = "Kuban"                       #Kuban
289 = "Chernigov"                   #Chernigov / Chernikhiv
290 = "Poltava"						#Poltava
291 = "Kharkov"                     #Kharkov
292 = "Mogilov"                     #Mogilev
293 = "Smolènsk"                    #Smolensk
294 = "Tver"                        #Tver
295 = "Moskva"                      #Moscow
296 = "Kaluga"                      #Kaluga
297 = "Bryansk"                     #Bryansk
298 = "Kursk"                       #Kursk
300 = "Tula"                        #Tula
301 = "Ryazán"                      #Ryazan
