####################################################################################
###FoI Names########################################################################
####################################################################################
12 = "Shéland"						#Sjælland
13 = "Shlezvik"						#Slesvig - Shlezvig
32 = "Priozersk"					#Kexholm - Korela
33 = "Nevá"							#Neva
34 = "Ingriya"						#Ingermanland - Izhora/Ingermanlandiya
43 = "Gdansk"						#Gdansk - Dantsig
44 = "Khamburg"						#Hamburg - Khamburk/Bogbor
45 = "Lyubek"						#Lübeck - Lyubeka/Lyubitsa
46 = "Raztok"						#Rostock - Roztok/Roztoka
47 = "Strelov"						#Stralsund - Shtralzund/Shtralov/Shtrelov
48 = "Kólobreg"						#Kolberg - Kolòbzheg
49 = "Santok"						#Neumark - Noimark/Nova Marka/Santokh
50 = "Birlìn"						#Berlin - Berlìn
51 = "Rupin"						#Ruppin
53 = "Glína"						#Lüneburg - Lyuneburg
54 = "Shtade"						#Stade
57 = "Brunsvik"						#Brunswick
58 = "Desav"						#Anhalt - Ankhalt/Desava/Desov
59 = "Byala Gorá"					#Wittenberg - Vitenberg
60 = "Budishin"						#Bautzen - Bautsen/Budyshin
61 = "Drazdáni"						#Dresden - Drezden/Drezhdany/Drezdák/Drezdán 
62 = "Lipsk"						#Leipzig - Laiptsig/Lipsko/Lipska
64 = "Landskhut"					#Landshut
65 = "Monakovo"						#Munich - Myunkhen/Monakov
67 = "Nyurimberg"					#Nürnberg - Nyurnberg/Norimberg/Nyurimbreg
68 = "Memingen"						#Memmingen
70 = "Shtutgrad"					#Stuttgart - Shtutgart
71 = "Ansbakh"						#Ansbach - Ansbak
73 = "Indolina"						#Inntal - Intal
76 = "Málko Solnograd"				#Salzburg - Zàltsburg
100 = "Friziya"						#Friesland
101 = "Génova"						#Genoa - Genua
102 = "Nitsa"						#Nice - Nis/Nikeya
103 = "Torino"						#Turin
104 = "Milano"						#Milan
105 = "Pàrma"						#Parma
106 = "Módena"						#Modena
107 = "Brèsha"						#Brescia
108 = "Beròna"						#Verona - Veròna/Berun
109 = "Mantova"						#Mantua - Mantua
110 = "Trèntino"					#Trent - Trènto/Trèntinsko
111 = "Furlaniya"					#Friuli - Dzhuliya/Furlandiya
112 = "Benétki"						#Venezia/Venice - Venetsiya
113 = "Feràra"						#Ferrara
114 = "Ravèna"						#Ravenna
115 = "Piza"						#Pisa
116 = "Florentsiya"					#Firenze
117 = "Sièna"						#Siena
118 = "Rim"							#Roma
119 = "Ankóna"						#Ancona
120 = "Abrutso"						#Abruzzo
121 = "Neapol"						#Napoli/Naples
122 = "Salento"						#Salento - Salentina
123 = "Kalábriya"					#Calabria
124 = "Mesìna"						#Messina
125 = "Panormos"					#Palermo - Palèrmo
126 = "Melit"						#Malta - Melite/Malta
127 = "Sàsari"						#Sassari
128 = "Dolna Korushka"				#Unterkärnten - Dolna Karintiya/Tselovets
129 = "Kraniska"					#Krain - Karniola/Kraina/Kraniska/Kranska
130 = "Istriya"						#Istria
131 = "Zágreb"						#Zagreb - Agram
132 = "Shtaierska"					#Steiermark/Styria - Shtiriya/Shtaerska
133 = "Lents"						#Ob der Enns - Lenets
134 = "Bech"						#Wien - Viéna/Bec
135 = "Banàt"						#Banat/Sopron - Shopron
136 = "Split"						#Spalato/Split
137 = "Dubrovnik"					#Ragusa
138 = "Cherna Gorá"					#Zeta
139 = "Zakhumlie"					#Hum - Zakhulmieto
140 = "Bósna"						#Bosnia
141 = "Sméderevo"					#Smederevo - Semendriya
142 = "Kerkira"						#Corfu - Korfu
143 = "Valona"						#Vlore - Vljora
144 = "Epir"						#Epirus
145 = "Moreya"						#Morea
146 = "Atína"						#Athens
147 = "Tesaliya"					#Thessaly
148 = "Sólun"						#Thessaloniki - Tesaloniki
149 = "Adrianopol"					#Edirne/Adrianople
150 = "Tugorska"					#Nikopol/Tugorutku - Nikòpol
151 = "Tsarigrád"					#Constantinople - Konstantinopol
152 = "Dravograd"					#Varasd/Dravograd - Varázhdin
153 = "Peshterá"					#Pest/Peshtera - Peshta
154 = "Nove Zamki"					#Hont/Nove Zamky
155 = "Bregovo"						#Békés/Bregovo - Bekesh
156 = "Timishgrad"					#Temes/Timish/Tamish
157 = "Golyamgrad"					#Bihar/Golemgrad - Bikhor
158 = "Marosh"						#Maros - Muresh
159 = "Drástár"						#Silistra/Durostorum - Silìstra/Drustur
160 = "Olteniya"					#Oltenia
161 = "Tárgovishte"					#Tirgoviste - Turgovishte
162 = "Zemplin"						#Zemplin
163 = "Krit"						#Crete
164 = "Naksos"						#Naxos
165 = "Bern"						#Bern - Berno/Berna
174 = "Bordò"						#Bordeaux
183 = "Parizh"						#Paris
189 = "Lorèna"						#Lothringen/Lorraine - Lorèn/Lotaringiya
196 = "Tuluza"						#Toulouse
205 = "Shamberì"					#Chambery
226 = "Kheraklovi Stálbove"			#Gibraltar - Mons Kalpe / Kheraklovi Stulbove
227 = "Olisipona"					#Ossonoba/Olisipo - Lisabón
247 = "Kámbriya"					#Cumbria - Kumbriya
254 = "Pòznan"						#Poznan
255 = "Kàlish"						#Kalisz
256 = "Plotsk"						#Plock
257 = "Varshava"					#Warsaw
258 = "Shèradz"						#Sieradz
259 = "Sandòmir"					#Sandomierz - Sandòmezh
260 = "Lyùblin"						#Lublin
261 = "Galich"						#Halicz/Halych - Khalich
262 = "Kràkov"						#Krakow
263 = "Ratìbor"						#Ratibor - Rachìbuzh
264 = "Vrátislav"					#Wroclaw - Vròtslav/Vrátislaviya
265 = "Bárno"						#Brno - Burno
266 = "Praga"						#Praha
267 = "Pilzen"						#Plzen - Pálzen/Pulzen
268 = "Suchava"						#Suceava
269 = "Podlyàshie"					#Podlasie - Podlyasiya/Podlya?she
271 = "Zhemaitiya"					#Samogitia - Zhamaitiya
272 = "Vilno"						#Vilna
274 = "Pskov"						#Pskov
275 = "Pòlotsk"						#Polotsk - Pòlatsk
276 = "Minsk"						#Minsk
277 = "Brest"						#Brest
278 = "Pinsk"						#Pinsk
279 = "Voliniya"					#Volhynia - Volin
280 = "Kìev"						#Kiev
281 = "Podoliya"					#Podolia - Podolie
282 = "Edisan"						#Yedisan
283 = "Zaporózhie"					#Zaporozhia - Zaporózhiya
284 = "Krim"						#Crimea/Tauriké - Távrika/Táurike/Táurik
285 = "Teodosíya"					#Theodosia - Feodosiya
286 = "Azóv"						#Azov
287 = "Kuban"						#Kuban
289 = "Chernìgov"					#Chernigov - Chernìkhiv
290 = "Poltava"						#Poltava
291 = "Khàrkov"						#Kharkov
292 = "Mogilov"						#Mogilev
293 = "Smolènsk"					#Smolensk
294 = "Tver"						#Tver
295 = "Moskva"						#Moscow
296 = "Kaluga"						#Kaluga
297 = "Bryansk"						#Bryansk
298 = "Kursk"						#Kursk
300 = "Tula"						#Tula
301 = "Ryazán"						#Ryazan
306 = "Nizhni Nóvgorod"				#Nizhny Novgorod
307 = "Vladìmir"					#Vladimir
