#########################
#FoI Byelorussian Names##
#########################
19 = "Nikalajstad"				#Österbotten/Nikolaistadt
27 = "Torh"						#Abo
28 = "Hielsinhfórs"				#Nyland - Hjelsinhfórs
29 = "Tamierfors"				#Tavastland/Tammerfors - Tamjerfors
30 = "Výbarh"					#Vyborg
31 = "Sankt-Michiel"			#Savolax/Sankt Michel - Sankt-Michjel/Sviaty-Michail
32 = "Pryaziersk"				#Kexholm - Korela/Karela
33 = "Niavá"					#Neva
35 = "Éziel"					#Ösel - Ezel/Ézjel
36 = "Kalyvan"					#Revala
37 = "Piernau"					#Livland - Pjernau
38 = "Ryha"						#Riga
39 = "Kuronija"					#Goldingen
40 = "Miemiel"					#Memel - Mjemjel
41 = "Karaliaviec" 				#Königsberg - Karaliavjec/Karaliaviets
42 = "Vármija"					#Warmia
43 = "Hdansk"					#Gdansk
60 = "Búdyshyn"					#Bautzen - Búdyšyn
118 = "Rym"						#Roma
135 = "Banát"					#Banat
149 = "Adryjanopal"				#Adrianople
151 = "Carharad"				#Constantinople - Kanstancinopal/Kanstantsinopal/Carhórad/Tsarhórad/Carhrád/Carhradam
153 = "Piachóra"				#Pest
154 = "Nóvie-Zámki"				#Nove Zamky - Nóvje-Zámki
155 = "Brehava"					#Bregovo - Bierahava/Bjerahava
157 = "Haliámhrad"				#Golemgrad - Holiemhrad/Holjemhrad
158 = "Márash"					#Maros - Máraš/Múresh/Múreš
160 = "Alténija"				#Oltenia
161 = "Tyrhavíshte"				#Tirgoviste - Tyrhavíšte
162 = "Preshau"					#Zemplin/Prešov - Prešau
254 = "Póznan"					#Poznan
255 = "Kalish"					#Kalisz - Kališ
256 = "Plock"					#Plock - Plotsk
257 = "Varshava"				#Warsaw - Varšava
258 = "Siéradz"					#Sieradz - Sjéradz
259 = "Sandamir"				#Sandomierz - Sudomir/Sandómiezh/Sadamir
260 = "Liublin"					#Lubin
261 = "Hálich"					#Halych
262 = "Krakau"					#Krakow
263 = "Racíbuzh"				#Ratibor - Rácibar
264 = "Uróclau"					#Breslau - Vróclau
266 = "Praha"					#Prague
267 = "Plzien"					#Plzen - Plzjen
268 = "Sucháva"					#Suceava
269 = "Padliashsha"				#Podlasie - Padliašša
270 = "Troki"					#Trakai - Traka?j
271 = "Zhmudz"					#Samogitia - Zhamójc
272 = "Vílnia"					#Vilna/Vilno
273 = "Lathalija"				#Latgola
275 = "Pólack"					#Polotsk - Po?latsk
276 = "Minsk"					#Minsk - Miensk/Mjensk
277 = "Biérascie"				#Brest - Biérastsie/Brest 
278 = "Pinsk"					#Pinsk
279 = "Valýn"					#Volhynia
280 = "Kijeu"					#Kyiv/Kiev
281 = "Padollie"				#Podolia - Padollje
282 = "Jedzisan"				#Yedisan
283 = "Zaparozhzha"				#Zaporozhia/Krivoi Rog - Kryvy Roh
285 = "Fieadosija"				#Theodosia/Feodosia - Fjeadosija
286 = "Azou"					#Azov - Azau
288 = "Usc-Miadzviedzickaja"	#Lower Don/Ust-Medveditskaya - Ust?-Miadzviedzickaja
289 = "Charníhau"				#Chernigov
290 = "Paltava"					#Poltava
291 = "Charkau"					#Kharkov
292 = "Mahilióu"				#Mogilev
293 = "Smaliensk"				#Smolensk - Smaljensk
295 = "Maskva"					#Moskva
296 = "Kaluha"					#Kaluga
297 = "Bransk"					#Bryansk
299 = "Varoniezh"				#Voronezh - Varonjezh
300 = "Túla"					#Tula
301 = "Razan"					#Ryazan
302 = "Tambou"					#Tambov - Tambau
306 = "Nizhni Nouharad"			#Nizhny Novgorod
307 = "Uladzimir"				#Vladimir
308 = "Jaraslaul"				#Yaroslavl
309 = "Alóniec"					#Olonets - Alaniéc
310 = "Nouharad"				#Novgorod
311 = "Cholmski Pahost"			#Kholmsky
312 = "Bielavoziera"			#Beloozero - Bjelavozjera
314 = "Volahda"					#Vologda
315 = "Piechanha"				#Finnmark/Pechenga - Pjechanha
419 = "Jerevan"					#Yerevan
420 = "Jelizavietpal"			#Elisavetpol/Jelizavjetpal
