104 = "Miláno"                      #Milan
101 = "Génova"                      #Genoa or Geneva
112 = "Venetia"
116 = "Florentía"                   #Firenze or Florendía
118 = "Rómi"                        #Rome
121 = "Neápolis"                    #Napoli
123 = "Kalavri"                     #Calabria
124 = "Messíni"                     #Messina
125 = "Pánormos"                    #Palermo
149 = "Adrianoúpolis"               #Adrianople or Adrianoúpoli
151 = "Konstantinoúpolis"           #Constantinople or Konstantinoúpoli
285 = "Theodosía"                   #Kaffa
317 = "Opsíkion"                    #Hüdavendigar
318 = "Smýrna"                      #Smyrna Smýrne
323 = "Ikónion"                     #Konya
327 = "Kilikía"                     #Adana or Cilicia
328 = "Sinópe"                      #Sinope
329 = "Sebásteia"
330 = "Trapezoús"                   #Trapezoúnta or Trebizond
331 = "Theodosiopolis"              #Erzurum or Theodosioúpoli
340 = "Constantina"
352 = "Justiniania"
357 = "Dárnis"                      #Darnah or Darnis
358 = "Aleksandreia"                #Alexandria
360 = "Thebai"                      #Kaine
363 = "Tamíathis"                   #Damietta a mod by neo
396 = "Týlos"
407 = "Kallinikos"
418 = "Amida"
1233 = "Megale"
1764 = "Mesembría"                  #Várna or Burgas    #greek alt Mesambria / Pýrgos
1848 = "Báris"                      #Hamid or Ispárta or Sparta
1933 = "Barion"
1934 = "Leukanía"
2296 = "Abydos"                     #Biga or Granikós Abudos
2297 = "Thrakesion"                 #Saruhan or Manísa
2304 = "Khaldía"                    #Amisós Chaldía Chaldia
2305 = "Acilisene"                  #Erzincan
2313 = "Antiocheia"                 #Antioch
2319 = "Lytkopolis"                 #Lycopolis or Shmin
2326 = "Petra Megale"               #Catabathmus Maior
2343 = "Adrramyta"                  #Kathiri
2348 = "Khíos"                      #Chios Chíos
2447 = "Tamatarha"                  #Mantrega or Tamatarha
2750 = "Philippoúpolis"             #Philippoúpoli or Philippopolis or Plovdiv
2982 = "Syrakoúsai"                 #Syrakoúses or Syracuse
2984 = "Kozentsa"                   #Cosentia or Consenza
4310 = "Tephrike"                   #Divrigi
4313 = "Gángra"                     #Kangiri
4315 = "Evdoksia"                   #Tokáti or Tokat or Évdokiá

########################################################################################
#New names Murph and Tele###############################################################
########################################################################################
72 = "Freibúrgo"                    #Freiburg / Freivúrgo
78 = "Magendía"                     #Mainz
81 = "Éssi"                         #Hesse 
82 = "Vestfalía"                    #Westphalia
90 = "Flándra"                      #Vlaanderen
92 = "Vryxélles"                    #Brussels
96 = "Zilandhía"                    #Zeeland
98 = "Utrékhti"                     #Utrecht
103 = "Turíno"                      #Turin
119 = "Ankóna"                      #Ancona
127 = "Sássari"                     #Sassari
128 = "Káto Karinthía"              #Unterkärnten
136 = "Aspálathos"                  #Split
141 = "Semendria"					#Serbia / Serbía
142 = "Kérkyra"                     #Corfu
143 = "Avlónas"					    #Vlore / Avlóna alt Lissós / Lezhe
144 = "Ípeiros"                     #Epirus Epeiros Ipeiros
145 = "Moréas"						#Morea / Moriás
146 = "Athína"						#Athens / Athenai
147 = "Thessalía"                   #Thessaly
148 = "Thessaloníki"				#Thessaloniki Thessaloníke
150 = "Tuggoroníki"					#Pleven / Storgosia
155 = "Brénkovo"                    #Bregovo
158 = "Moreses"                     #Maros
159 = "Silístra"                    #Silistria Silístra / Douróstolon Durostorum
163 = "Kríti"						#Crete Krete
164 = "Náxos"                       #Naxos
172 = "Nándi"                       #Nantes
201 = "Massalía"                    #Provence or Provingía
213 = "Barkelóni"                   #Barcelóna
214 = "Saragósa"                    #Zaragoza
217 = "Madríti"                     #Madrid
220 = "Valénthia"                   #Valencia
226 = "Óros Kálpe"                  #Gibraltar
227 = "Olysipa"                     #Lisbon
236 = "Londhíno"                    #London
237 = "Oxfórdi"                     #Oxford
248 = "Edimbúrgo"                   #Edinburgh or Edimvúrgo
257 = "Varsovía"                    #Warsaw
262 = "Krakovía"                    #Kraków
280 = "Kíevo"                       #Kiev
282 = "Odissós"                     #Odesa or Yedisan
284 = "Taurike"                     #Crimea
286 = "Tánaïs"                      #Tanais or Tana or Azov
291 = "Khárkovo"                    #Kharkov
316 = "Optimátoi"                   #Nikomídeia or Kocaeli Optimatoi
319 = "Mýlasa"                      #Mylasa
320 = "Rhódos"						#Rhodes or Ródos
321 = "Kýpros"						#Cyprus
322 = "Kotyáeion"                   #Kotyaeion
324 = "Láranda"                     #Karaman
325 = "Paphlagonía"                 #Paphlagonia
326 = "Galatía"                     #Ankara
332 = "Germaníkeia"					#Dulkadir
333 = "Magiórka"                    #Mallorca
367 = "Azóres"                      #Azores
