########################################################################################
#FoI Betacised Names####################################################################
########################################################################################
44 = "Amvoúrgo"						#Hamburg / Amboúrgo
50 = "Verolíno"						#Berlin	/ Berolíno
52 = "Magdevoúrgo"				    #Magdeburg / Magdeboúrgo
66 = "Vamvérgi"                     #Bamberg / Bambérgi
67 = "Nyremvérgi"					#Nürnberg / Nyrembérgi
71 = "Ánsvakh"                      #Ansbach / Ánsmpach Ánsbakh
72 = "Vráisgaou"                    #Breisgau Bráisgaou
74 = "Vádi"						    #Baden Bánten Vádi
75 = "Strasvoúrgo"					#Elsass Strasboúrgo
76 = "Saltsvoúrgo"                  #Salzburg / Saltsboúrgo
77 = "Khaïdelvérgi"                 #Heidelberg Chaïdelvérgi Khaïdelbérgi
79 = "Výrtsvoúrgo"                  #Würzburg Výrtsmpournk Výrtsboúrgo
92 = "Vryxéllai"                    #Brussels / Vryxélles Bryxéllai
94 = "Louxemvoúrgo"                 #Luxembourg / Louxemboúrgo
95 = "Vréda"                        #Breda / Bréda
107 = "Vrésia"                      #Brescia Brésia
118 = "Rómi"                        #Rome Rómi Rhóme Rhómi
120 = "Avroútso"                    #Abruzzi / Abroútso
123 = "Kalavría"                    #Calabria Calavría Kalabría Kalavri
124 = "Messíni"                     #Messina
126 = "Melíti"						#Malta Melíte
131 = "Zágkrev"					    #Zagreb Zágkreb
140 = "Vosnía"						#Bosnia Bosnía
150 = "Tougóroutkoú"				#Pleven / Storgosia / Tuggoroníki
155 = "Vrégovo"                     #Bregovo / Brénkovo Brégovo
165 = "Vérni"						#Bern / Bérni
174 = "Vordó"                       #Bordeaux Bordó
187 = "Varouá"                      #Barrois / Barouá
190 = "Vourvónis"                   #Bourbonnais / Bourbónis
205 = "Samverí"                     #Chambery / Samperí Samberí
213 = "Varkelóni"                   #Barcelóna / Barkinón / Varkinón / Barkelóni
223 = "Elivýrge"                    #Granada / Elibýrge / Sexs
225 = "Kórdova"                     #Cordoba / Kórdoba
240 = "Srioúsveri"                  #Shrewsbury /Srioúsmperi Srioúsberi
246 = "Northoumvría"                #Northumberland / Northoumbría
247 = "Kámvria"                     #Cumbria / Kámpria Kámbria
251 = "Averdín"                     #Aberdeen / Aberdín
263 = "Ratívor"                     #Ratibor Ratíbor
326 = "Ánkura"                      #Ankara Ánkyra / Galatía
328 = "Sinópi"                      #Sinope
329 = "Sivasteia"                   #Sebásteia / Sevásteia
339 = "Kavylía"                     #Kabylia Kavylía
340 = "Konstantíni"                 #Constantina Konstantíne Konstantína
