########################################################################################
#FoI Turkocized Localized Names#########################################################
########################################################################################
150 = "Tougóroutkoú"			#Tuggoroníki
159 = "Silístra" 				#Silistria
284 = "Kimmería"				#Crimea
286 = "Azoph"					#Azov/Azof/Azak
325 = "Kastamoní"				#Kastamonu/Kastamone
326 = "Ánkura"					#Ankara
328 = "Sinópi"					#Sinope
329 = "Sivasteia"				#Sebasteia/Sivas
359 = "Arsinói"					#Crocodilopolis/Krokodeilópolis
360 = "Kainí"					#Kaine
396 = "Bakhréin"				#Bahrain
416 = "Azervaïtzán"				#Azerbaijan
421 = "Sirván"					#Shirvan
425 = "Dagestán"				#Dagestan
1231 = "Souán"					#Aswan
1756 = "Akkerman"				#Bessarabia
1846 = "Amáseia"				#Amasya
2306 = "Mous"					#Mush
2308 = "Édessa"					#Ufra
2317 = "Moní"					#Minya
2319 = "Khémmis"				#Lycopolis
3000 = "Nis"					#Nish
4288 = "Arvándi"				#Charakene
4319 = "Ésna"					#Sine
4329 = "Persía"					#Pars
4703 = "Kosténdil"				#Köstendil
4704 = "Pazária"				#Tirnovo
4706 = "Boltoprák"				#Boltoprak
########################################################################################
#FoI Betacised Names####################################################################
########################################################################################
1 = "Stokkhólmi"				#Stockholm
15 = "Dytikí Ioútlándi"			#Vestjylland
44 = "Khamvoúrgo"				#Hamburg
50 = "Verolíno"					#Berlin
52 = "Magdevoúrgo"				#Magdeburg
61 = "Drésdi"					#Dresden
63 = "Erphoúrti"				#Thüringen
64 = "Lándskhout"				#Landshut
66 = "Vamvérgi"					#Bamberg
67 = "Nyremvérgi"				#Nürnberg
70 = "Stoutgárdi"				#Stuttgart
71 = "Ánsvakh"					#Ansbach
72 = "Vráisgaou"				#Breisgau
74 = "Váden"					#Baden
75 = "Strasvoúrgo"				#Elsass
76 = "Saltsvoúrgo"				#Salzburg
77 = "Khaïdelvérgi"				#Heidelberg
79 = "Výrtsvoúrgo"				#Würzburg
80 = "Triéri"					#Trier
81 = "Áno Éssi"					#Oberhessen
92 = "Vryxélles"				#Brussels
93 = "Liégi"					#Liège
94 = "Louxemvoúrgo"				#Luxembourg
95 = "Vréda"					#Breda
96 = "Zilandía"					#Zeeland
107 = "Vrésia"					#Brescia
118 = "Rómi"					#Rome
120 = "Avroútso"				#Abruzzi
122 = "Salénto"					#Salento
123 = "Kalavría"				#Calabria
124 = "Messíni"					#Messina
126 = "Melíti"					#Malta
131 = "Zágrev"					#Zagreb
134 = "Viénni"					#Wien/Viéni
135 = "Vanáto"					#Shopron
140 = "Vosnía"					#Bosnia
146 = "Athína"					#Athens
148 = "Thessaloníki"			#Thessaloniki
155 = "Vrégovo"					#Bregovo
163 = "Kríti"					#Crete
165 = "Vérni"					#Bern
174 = "Vordó"					#Bordeaux
179 = "Véri"					#Berry
186 = "Reímoi"					#Reims
187 = "Varouá"					#Barrois
