####################################################################################
###Vanilla Names####################################################################
####################################################################################
197 = "PROVINCE197CATALAN"		#Roussillon
211 = "Osca"					#Huesca
206 = "Corunya"					#Corunna
207 = "Astúries"				#Asturias
208 = "PROVINCE208CATALAN"		#León
209 = "Biscaia"					#Vizcaya
214 = "Saragossa"				#Zaragoza
225 = "PROVINCE225CATALAN"		#Córdoba
333 = "Mallorca"				#Majorca
366 = "PROVINCE366CATALAN"		#Gran Canaria"
1745 = "PROVINCE1745CATALAN"	#Cantabria
1746 = "Burchs"					#Burgos
1747 = "PROVINCE1747CATALAN"	#Caceres
2751 = "Conca"					#Cuenca
2754 = "La Manxa"				#La Mancha
2755 = "PROVINCE2755CATALAN"	#Soria
2990 = "Terol"					#Teruel
4546 = "PROVINCE4546CATALAN"	#Málaga
4551 = "PROVINCE4551CATALAN"	#Ávila
4552 = "PROVINCE4552CATALAN"	#Palencia
4559 = "Menorca"				#Minorca
4560 = "Eivissa"				#Ibiza
4788 = "PROVINCE4788CATALAN"	#Plasencia
4789 = "PROVINCE4789CATALAN"	#Segovia

1 = "Estocolm"					#Stockholm
14 = "PROVINCE14CATALAN"		#Fyn
50 = "PROVINCE50CATALAN"		#Berlin
57 = "Brunsvic"					#Brunswick
67 = "Nuremberg"				#Nürnberg
75 = "Estrasburg"				#Straßburg
78 = "PROVINCE78CATALAN"		#Mainz
80 = "PROVINCE80CATALAN"		#Trier
82 = "PROVINCE82CATALAN"		#Westfalen
85 = "PROVINCE85CATALAN"		#Köln
89 = "Picardia"					#Picardie
93 = "Lieja"					#Liège
96 = "Zelanda"					#Zeeland - Brabant
101 = "PROVINCE101CATALAN"		#Genoa -alt Gènua
102 = "PROVINCE102CATALAN"		#Nice
103 = "PROVINCE103CATALAN"		#Turin
104 = "PROVINCE104CATALAN"		#Milan
106 = "PROVINCE106CATALAN"		#Modena
109 = "PROVINCE109CATALAN"		#Mantua
111 = "PROVINCE111CATALAN"		#Friuli
112 = "PROVINCE112CATALAN"		#Venezia
116 = "PROVINCE116CATALAN"		#Firenze
117 = "Sena"					#Siena
120 = "PROVINCE120CATALAN"		#Abruzzi
121 = "PROVINCE121CATALAN"		#Napoli
123 = "PROVINCE123CATALAN"		#Calabria
125 = "Palerm"					#Palermo
127 = "PROVINCE127CATALAN"		#Sassari
132 = "PROVINCE132CATALAN"		#Steiermark
134 = "Viena"					#Wien
142 = "PROVINCE142CATALAN"		#Corfu
146 = "Cetines"					#Athens
160 = "PROVINCE160CATALAN"		#Oltenia
163 = "Creta"					#Crete
165 = "Berna"					#Bern
167 = "Caus"					#Caux
169 = "PROVINCE169CATALAN"		#Armor
170 = "Finisterre"				#Finistère
