13 = "Slesvicko"				#Slesvig
40 = "Klajpeda"					#Memel
41 = "Královec"					#Königsberg
42 = "Varmie"					#Warmia
43 = "Gdansk"					#Gdansk - Hdansk
44 = "Hamburk"					#Hamburg
45 = "Lubek"					#Lübeck
46 = "Roztoky"					#Rostock
48 = "Kolobreh"					#Kolberg
49 = "Nová Marka"				#Neumark
52 = "Devín"					#Magdeburg
55 = "Oldenburk"				#Oldenburg
57 = "Brunsvik"					#Brunswick
59 = "Wittenberk"				#Wittenberg
60 = "Budysín"					#Bautzen
61 = "Drázdany"					#Dresden
62 = "Lipsko"					#Leipzig
63 = "Jarobrod"					#Erfurt
65 = "Mnichov"					#Munich
66 = "Bamberk"					#Bamberg
67 = "Norimberk"				#Nürnberg
69 = "Horní Svabsko"			#Dortmund
72 = "Breisgavsko"				#Breisgau - Breishavsko
73 = "Tyrolsko"					#Inntal
74 = "Badensko"					#Baden
75 = "Strasburk"				#Straßburg
78 = "Mohuc"					#Mainz
79 = "Vircpurk"					#Würzburg
80 = "Trevír"					#Trier
81 = "Hesensko"					#Oberhessen
82 = "Vestfalsko"				#Westfalen
83 = "Nasavsko"					#Nassau
85 = "Kolín"					#Köln
89 = "Pikardie"					#Picardie
90 = "Bruggy"					#Bruges - Bruhhy
91 = "Henegavsko"				#Hainaut - Henehavsko
93 = "Lutych"					#Liège
94 = "Lucembursko"				#Luxemburg
96 = "Zeland"					#Zeeland
97 = "Holandsko"				#Amsterdam
99 = "Geldern"					#Gelre - Heldern
100 = "Frísko"					#Friesland
101 = "Janov"					#Genoa

110 = "Tridentsko"				#Trentino
111 = "Furlansko"				#Friuli
112 = "Benátky"					#Venezia
116 = "Florencie"				#Firenze
118 = "Rím"						#Roma
121 = "Neapol"					#Napoli
123 = "Kalábrie"				#Calabria
129 = "Kransko"					#Krain
130 = "Istrie"					#Istria
131 = "Záhreb"					#Zagreb
132 = "Stýrsko"					#Steiermark
133 = "Linec"					#Ob der Enns
134 = "Víden"					#Wien
137 = "Dubrovnik"				#Ragusa
140 = "Bosna"					#Bosnia
141 = "Srbsko"					#Smederevo
142 = "Korfu"					#Corfu
143 = "Albánie"					#Vlorë
146 = "Athény"					#Athens
147 = "Thesálie"				#Thessaly
148 = "Makedonie"				#Thessalonica
149 = "Drinopol"				#Adrianople
154 = "Nové Zámky"				#Nove Zamky
158 = "Maruse"					#Maros
160 = "Oltenie"					#Oltenia
161 = "Trhoviste"				#Tîrgoviste
163 = "Kréta"					#Crete
168 = "Normandie"				#Caen
174 = "Akvitánie"				#Bordeaux
175 = "Armanak"					#Armagnac
183 = "Pariz"					#Paris
184 = "Orleán"					#Orleanais
188 = "Mety"					#Metz
189 = "Lotrinsko"				#Lothringen
192 = "Burgundsko"				#Dijonnais - Burhundsko
193 = "Svobodné hrabství"		#Franche-Comté
201 = "Provensálsko"			#Aix
203 = "Lyon"					#Lyonnais
207 = "Asturie"					#Asturias
209 = "Biskajsko"				#Vizcaya
220 = "Valencie"				#València
227 = "Lisabon"					#Ossonoba
236 = "Londýn"					#London

253 = "Zapadní ostrovy"			#Outer Hebrides
255 = "Kalis"					#Kalisz
257 = "Varsava"					#Warszawa
259 = "Sandomer"				#Sandomierz
261 = "Halic"					#Halych
262 = "Krakov"					#Krakow
264 = "Vratislav"				#Breslau
266 = "Praha"					#Prague
268 = "Moldávie"				#Suceava
269 = "Podlesí"					#Podlasie
270 = "Troky"					#Trakai
271 = "Zmud"					#Samogitia
272 = "Vilno"					#Vilna
279 = "Volyn"					#Volhynia
280 = "Kyjev"					#Kyiv
285 = "Feodosija"				#Theodosia
288 = "Dolní Don"				#Lower Don
289 = "Cernihiv"				#Chernigov
291 = "Charkov"					#Kharkov
292 = "Mohylev"					#Mogilev
299 = "Voronez"					#Voronezh

301 = "Rjazan"					#Ryazan
306 = "Dolní Novgorod"			#Nizhny Novgorod - Dolní Novgorod
308 = "Jaroslavl"				#Yaroslavl
320 = "Rhodos"					#Rhodes
321 = "Kypr"					#Cyprus
333 = "Baleáry"					#Majorca
358 = "Alexandrie"				#Alexandria
365 = "Sinaj"					#Sinai
366 = "Kanáry"					#Gran Canaria
367 = "Azory"					#The Azores
369 = "Orkneje"					#Orkney
379 = "Jeruzalém"				#Jerusalem
382 = "Damasek"					#Darmsuq
395 = "Katar"					#Catara
396 = "Bahrajn"					#Bahrain
400 = "Maskat"					#Muscat
419 = "Jerevan"					#Yerevan

481 = "Bermudy"					#Bermuda
482 = "Bahamy"					#Bahamas
