################################################################################################################
###New FoI Names################################################################################################
################################################################################################################
118 = "Hrom"							#Roma/Rum/Hrum
146 = "Aten"							#Athens
149 = "Aderniya"						#Adrianople/Aderne/Aderna
151 = "Konstântiniya"					#Constantinople/Kostantana/Takht-e Hrom/Rum
236 = "Landan"							#London
317 = "Khwadavandikar"					#Hüdavendigar
319 = "Karka"							#Mylasa/Caria
321 = "Yadnana"							#Qebres/Cyprus #old persian name
322 = "Kotahiya"						#Kotyaeion
323 = "Ikoniya"							#Ikonion
326 = "Huaspadehiya"					#Ankara - Land of good horses
327 = "Kilikiya"						#Cilicia
330 = "Trabzon"							#Trebizond
332 = "Germeniciya"						#Marash/Germenicia
358 = "Eskandargerd"					#Alexandria/Eskandara/Alaxsindargird
361 = "Menfe"							#Memphis/Memfi
365 = "Sina"							#Sinai
377 = "Halab"							#Aleppo
379 = "Kangdiz Hûkht"					#Kang Diz Huxt/Diz Kang Huxt/Jerusalem
382 = "Darmsûq"							#Damacus
394 = "Hatta"							#El Qatif
396 = "Mashmahig"						#Awal
399 = "Mazun"							#Suhar/Sohar
400 = "Maskat"							#Masqat 
407 = "Huzihrperoz"						#Kallinikos - beautiful victor/Newperoz huchihrperoz/Huzhihrperoz
408 = "Vahardashir"						#Basra/Astarabad Ardashir/Vaheštabad Ardašir/Ardašir
410 = "Tesifon"							#Ctesiphon/Baghdad
411 = "Nainava"							#Nineve/Nineveh
412 = "Hormozdardashir"					#Ahvaz/Hormizdartazir/Suqhuz
413 = "Shahpuhrkhast"					#Shabuhr-Khast/Shabuhrkhast
414 = "Ahmadan"							#Hamedan/Hamadan/Ecbatana
415 = "Garmakan"						#Kirkuk/Karkha/Garmekan
417 = "Lahygan"							#Lahigan/Lahijan
418 = "Amida"							#Amidia/Amid/Amidieh
420 = "Ganzag"							#Ganja/Gandzak/Ganjeh/Ganza
421 = "Bâdkube"							#Baku/Bakube/Bako/Lankaran
423 = "Tiflis"							#Teflis/Tibilisi/Tbilisi
424 = "Artavil"							#Ardabil/Artavila Artawil
425 = "Dagestan"						#Tawestan/Dagistan
426 = "Amul"							#Amol/Amoy
427 = "Dehmoghan"						#Komis/Qumis/Damghan/Saddarvazeh/Saddarvazehpon
428 = "Tahrân"							#Teheran/Ray/Arsakia
429 = "Spahan"							#Isfahan
430 = "Reyshahr"						#Dashtestan/Dashtistan/Ram Ardashir/Reyshahr/Bushehr
431 = "Kamrun"							#Bandar Abbas/Gameroon/Gümrük/kommerkion/commercium
432 = "Kirman"							#Kerman/Veh-Ardashir/Vehshir/Veh-Ardashir
433 = "Yazd"							#Yazd/Yezd
434 = "Kofistan"						#Qohestan/Quhistan/Kohistan
435 = "Zarang"							#Zaranj/Zaranga/Zabul
436 = "Birgerd"							#Nehbandan/Neh/Birjand similar to 2236
437 = "Koppehdagh"						#Nisa/Mithradatkirt/Kopet Dag/Kope-Dagh
441 = "Khwârezm"						#Khiva/Xiveh/Khiveh / Khwarezm
442 = "Bukhârâ"							#Bukharak/Bokhara/Boxara/Boxârâ/Bukhara
444 = "Chahârjoy"						#Charjuy/Four Brooks
445 = "Marw"							#Merv/Marv
446 = "Harev"							#Herat
447 = "Eskandahar"						#Alexander/Iskandar
448 = "Jaguda"							#Gazni/Ghazni
449 = "Gar"								#Ghor/Gur
450 = "Bakhl"							#Bactra
451 = "Kapul"							#Kabul
452 = "Badakhshân"						#Badakhshan badaxš
453 = "Nakhshab"						#Nakshab/Qarshi
454 = "Samarkand"						#Samarkand
457 = "Chachkand"						#Tashkant
458 = "Khukand"							#Kokand
459 = "Pishkuh"							#Taraz
460 = "Özkand"							#Uzkend/Uz City/Faraghene/Fergana/Ferghana/Ferqâna
466 = "Sray"							#Sarai
710 = "Khotan"							#Hotan
739 = "Kashgar"							#Kashgar
1248 = "Debagan"						#Maldives/Dibajat
