############################################################################################
#Vanilla Greek Names########################################################################
############################################################################################
104 = "Miláno"					#Milan
101 = "Génova"					#Genoa/Genova
121 = "Neápolis"				#Napoli/Naples
125 = "Pánormos"				#Palermo
149 = "Adrianoúpolis"			#Adrianople
151 = "Konstantinoúpolis"		#Constantinople
285 = "Theodosía"				#Kaffa
317 = "Opsíkion"				#Hüdavendigar/Prusa
318 = "Smýrna"					#Smyrna
323 = "Ikónion"					#Iconion/Konya
327 = "Kilikía"					#Cilicia/Adana
328 = "Sinópe"					#Sinope
329 = "Sebásteia"				#Sebasteia/Sivas
330 = "Trapezoús"				#Trapezus/Trebizond
357 = "Dárnis"					#Kyrene/Derna
363 = "Tamíathis"				#Damietta a mod by neo
396 = "Týlos"					#Bahrain
418 = "Amida"					#Ámida/Diyarbekir
1231 = "Syéne"					#Aswan/Syene
1764 = "Mesembría"				#Mesambria/Varna/Burgas
1848 = "Báris"					#Hamid/Isparta
1934 = "Leukanía"				#Lucania
2296 = "Abydos"					#Biga/Granicus
2297 = "Thrakesion"				#Saruhan/Manisa
2304 = "Khaldía"				#Canik/Chaldia/Samsun
2319 = "Lykópolis"				#Shmin/Lycopolis
2326 = "Petra Megale"			#Sallum/Catabathmus Maior
2343 = "Adrramyta"				#Kathiri
2348 = "Khíos"					#Chios
2750 = "Philippoúpolis"			#Filipe/Plovdiv/Philippopolis
2982 = "Syrakoúsai"				#Syracuse
2984 = "Kozéntsa"				#Consenza/Cosenza/Cosentia
4313 = "Gángra"					#Kangiri
4315 = "Evdoksia"				#Tokat
############################################################################################
#FoI Byzantine Names########################################################################
############################################################################################
1 = "Stokkhólme"				#Stockholm
12 = "Sélandía"					#Sjælland
14 = "Phionía"					#Fyn
15 = "Dytiké Ioútlánde"			#Vestjylland
44 = "Khamboúrgo"				#Hamburg
50 = "Berolíno"					#Berlin
52 = "Magdeboúrgo"				#Magdeburg
61 = "Drésde"					#Dresden/Saxony
62 = "Leipsía"					#Leipzig
63 = "Erphoúrte"				#Thüringen
64 = "Lándshout"				#Landshut
65 = "Mónakho"					#München
66 = "Bambérge"					#Bamberg
67 = "Nyrembérge"				#Nürnberg
68 = "Mémingen"					#Memmingen
70 = "Stoutgárde"				#Stuttgart/Württemberg/Soúebopólis
71 = "Ánsbakh"					#Ansbach
72 = "Bráisgaou"				#Breisgau/Freiburg
73 = "Inntal"					#Inntal
74 = "Báden"					#Baden
75 = "Strasboúrgo"				#Elsass
76 = "Saltsboúrgo"				#Salzburg
77 = "Khaïdelbérge"				#Heidelberg
78 = "Magentía"					#Mainz
79 = "Výrtsboúrgo"				#Würzburg
80 = "Triére"					#Trier
81 = "Áno Hesse"				#Oberhessen
82 = "Vestphalía"				#Westfalen/Westphalia
85 = "Kolonía"					#Köln/Cologne
87 = "Kalaí"					#Calais
88 = "Artouá"					#Artois
89 = "Pikardía"					#Picardie/Picardy
90 = "Phlándra"					#Vlaanderen
91 = "Ainó"						#Hainaut
92 = "Bryxélles"				#Brussels
93 = "Liége"					#Liège
94 = "Louxemboúrgo"				#Luxembourg
95 = "Bréda"					#Breda
96 = "Zelandía"					#Zeeland
97 = "Amstelódamo"				#Amsterdam
98 = "Outrékhte"				#Utrecht
102 = "Níkaia"					#Nice/Nissa
103 = "Touríno"					#Turin/Turino
105 = "Párma"					#Parma
106 = "Móntena"					#Modena/Módena
107 = "Brésia"					#Brescia
108 = "Veróna"					#Verona
109 = "Mántova"					#Mantua
110 = "Trentíno"				#Trentino/Trento/Trent
111 = "Phríouli"				#Friuli
112 = "Venetía"					#Venice/Venetia
113 = "Pherrára"				#Ferrara
114 = "Ravénna"					#Ravenna
115 = "Píza"					#Pisa
116 = "Phlorentía"				#Firenze
117 = "Siéna"					#Siena/Saena Julia
118 = "Rhóme"					#Rome
119 = "Ankóna"					#Ancona
120 = "Abroútso"				#Abruzzi/Abruzzo
122 = "Salénto"					#Salento/Taranto
123 = "Kalabría"				#Calabria
124 = "Messéne"					#Messina
126 = "Melíte"					#Malta
127 = "Sássari"					#Sassari
128 = "Káto Karinthía"			#Unterkärnten
129 = "Karnióla"				#Krain
130 = "Istría"					#Istria
131 = "Zágreb"					#Zagreb/Agram/Agranum
132 = "Styría"					#Steiermark
133 = "Epáno apó ta Enn"		#Ob der Enns/Linz
134 = "Viénne"					#Wien
135 = "Banáto"					#Banat/Sopron
136 = "Aspálathos"				#Split
137 = "Ragoúsa"					#Ragusa/Dubrovnik
138 = "Zéta"					#Zeta
139 = "Zakhloumía"				#Hum/Zachlumia
140 = "Bosnía"					#Bosnia
141 = "Semendria"				#Serbia/Smederevo
142 = "Kérkyra"					#Corfu
143 = "Avlónas"					#Vlore/Avlona/Lezhe
144 = "Épeiros"					#Epirus
145 = "Moréas"					#Morea
146 = "Athéna"					#Athens
147 = "Thessalía"				#Thessaly
148 = "Thessaloníke"			#Thessaloniki
150 = "Tuggoroníke"				#Pleven/Storgosia
152 = "Drávográdi"				#Dravograd/Varazdin
153 = "Ístropólis"				#Danube City/Pest/Peshtera
154 = "Néo Kástro"				#Nove Zamky/New Castle
155 = "Brégovo"					#Bregovo
156 = "Tímis"					#Timish/Temes
157 = "Golyamgrádi"				#Golyamgrad
158 = "Moréses"					#Maros
159 = "Douróstoron"				#Silistria/Durostorum
160 = "Olténia"					#Oltenia
161 = "Tirgóviste"				#Tîrgoviste
162 = "Zemplín"					#Zemplin
163 = "Kréte"					#Crete
164 = "Náxos"					#Naxos
165 = "Bérne"					#Bern
167 = "Ko"						#Caux
168 = "Kaén"					#Caen
169 = "Armór"					#Armor
170 = "Phinistér"				#Finistère
171 = "Vanetaí"					#Vannetais
172 = "Nántaí"					#Nantes
174 = "Bordó"					#Bordeaux
175 = "Armaniák"				#Armagnac
177 = "Main"					#Maine
179 = "Béri"					#Berry
178 = "Anzoú"					#Anjou
180 = "Áno Pouatoú"				#Haut-Poitou
181 = "Retél"					#Rethel
182 = "Valouá"					#Valois
183 = "Parísi"					#Paris/Lutetia
184 = "Orleánaí"				#Orleanais/Orleání
185 = "Nemoúrs"					#Nemours
187 = "Barouá"					#Barrois
188 = "Mets"					#Metz
189 = "Lorraíne"				#Lothringen
190 = "Bourbónnaí"				#Bourbonnais
192 = "Dizónaí"					#Dijon
193 = "Galliké-Konté"			#Franche-Comté
196 = "Tolôssa"					#Toulouse
197 = "Rousigión"				#Roussillon
200 = "Monpellié"				#Montpellier
201 = "Massalía"				#Provence
202 = "Avinión"					#Avignon
205 = "Samberí"					#Chambery
206 = "Koroúnia"				#Corunna
207 = "Astoúries"				#Asturias
208 = "León"					#Leon
209 = "Viskaía"					#Vizcaya
210 = "Navárra"					#Navarra
211 = "Ouéska"					#Huesca
213 = "Barkelóne"				#Barcelóna
214 = "Saragósa"				#Zaragoza/Caesaraugusta
217 = "Madríte"					#Madrid
218 = "Mérida"					#Merida/Augusta Emerita
219 = "Tolédo"					#Toledo
220 = "Valénthia"				#Valencia
221 = "Karthágo Spartaría"		#Cartagena/Carthago Nova
223 = "Elibýrge"				#Granada/Sexs
224 = "Hispalis"				#Seville
225 = "Kórdoba"					#Cordoba
226 = "Herákleiai Stelai"		#Gibraltar/Mons Calpe
227 = "Olissipóna"				#Lisbon/Olisipo
228 = "Béira"					#Beira
231 = "Pórto"					#Porto Portus/Oporto
232 = "Bragánsa"				#Bragança
233 = "Kornouále"				#Cornwall
234 = "Khámsaïr"				#Hampshire/Chámsaïr
236 = "Londínion"				#London
237 = "Oxphórde"				#Oxford
239 = "Glóster"					#Gloucester
240 = "Srioúsberi"				#Shrewsbury
243 = "Línkolnsaïr"				#Lincolnshire
244 = "Lánkaster"				#Lancaster
245 = "Yórke"					#York
246 = "Northoumbría"			#Northumberland
247 = "Kámbria"					#Cumbria
248 = "Lothianós"				#Lothian/Edinburgh
249 = "Áirsaïr"					#Ayrshire
251 = "Aberdín"					#Aberdeen
257 = "Varsovía"				#Warsaw
262 = "Krakovía"				#Kraków
263 = "Ratíbor"					#Ratibor
266 = "Prága"					#Praha
268 = "Soutseáva"				#Suceava
280 = "Kíevo"					#Kiev
282 = "Odissós"					#Odesa/Yedisan
284 = "Tauriké"					#Crimea
286 = "Tánaïs"					#Tanais
287 = "Hypanis"					#Kuban
291 = "Khárkovo"				#Kharkov
295 = "Móskha"					#Moskva
316 = "Optimátoi"				#Optimatoi/Nicomedia/Kocaeli
319 = "Mýlasa"					#Mylasa/Mugla
320 = "Rhódos"					#Rhodes
321 = "Kýpros"					#Cyprus
322 = "Kotyáeion"				#Kotyaion
324 = "Láranda"					#Laranda/Karaman
325 = "Paphlagonía"				#Kastamonu/Paphlagonia
326 = "Galatía"					#Ancyra/Ankara
331 = "Theodosioúpolis"			#Karin/Erzurum/Theodosiopolis
332 = "Germaníkeia"				#Dulkadir
333 = "Maiórka"					#Majorca/Mallorca
334 = "Tingís"					#Tangis/Tangier/Tingi
336 = "Tilimsén"				#Talimsan/Tlimsan/Tlemcen/Pomaria
337 = "Ouekhrán"				#Oran/Wahran/Wehran/Port Nouveau
338 = "Ikósion"					#Icosium/Mettijet/Port de Dieu
339 = "Kabylía"					#Kabylia/Saldae
340 = "Konstantína"				#Constantina
341 = "Karkhedón"				#Tunis/Carthage/Carthago
345 = "Aphsi"					#Afsi/Safi
347 = "Íphni"					#Ifni
352 = "Ioustiniána"				#Justiniania/Gafsa/Capsa
353 = "Takápe"					#Tacapes/Tacape/Gabès
354 = "Trípolis"				#Tripoli
355 = "Sýrtis"					#Sirte/Sirt
356 = "Ptolemaís"				#Ptolemais
358 = "Alexándreia"				#Alexandria
359 = "Krokodeilópolis"			#CrocodilopolisFaiyum
360 = "Kainé"					#Kaine/Thebes/Qena/Kone
361 = "Mémphis"					#Memphis/Cairo
362 = "Bolbitíne"				#Rosetta/Rashit
364 = "Gáza"					#Gaza
365 = "Sinái"					#Sinai
367 = "Azóres"					#Azores
368 = "Madéra"					#Madeira
373 = "Doublíno"				#Dublin
377 = "Khalépi"					#Aleppo
379 = "Hierosólyma"				#Jerusalem
380 = "Khárreketh"				#Harreketh
381 = "Bóstra"					#Bostra
382 = "Damaskós"				#Damascus
383 = "Tabawa"					#Tabuk
384 = "Medína"					#Medina
385 = "Mákekh"					#Mecca
395 = "Katára"					#Qatar
405 = "Palmýra"					#Tadmor/Palmyra
407 = "Kallínikos"				#Kallinikos/Raqqa/Leontopolis
