####################################################################################
###FoI Names########################################################################
####################################################################################
118 = "Rum"							#Rome/Roma - Ruma
142 = "Körfüz"						#Corfu - Korfu
144 = "Yanyä"						#Epirus/Ioannina - Yanya
145 = "Anabolu"						#Morea/Nafplio
146 = "Afina"						#Athens
147 = "Tirkhala"					#Thessaly/Trikala - Tirkala/Tirhala/Fessaliya/Teselya
148 = "Sälanik"						#Thessaloniki - Saloniki/Sälaniki
149 = "Ädirnä"						#Edirne
150 = "Tugorutku"					#Tuggoronica
151 = "Qüstantiniyyä"				#Constantinople
159 = "Silisträ"					#Silistra
163 = "Girid"						#Crete - Girit
316 = "Izkimit"						#Optimatoi/Nicomedia - Izmit
317 = "Khudavändigar"				#Hüdavendigar
318 = "Izmir"						#Smyrna
319 = "Mugla"						#Mylasa - Mentesa/Mentese/Milas
320 = "Rodos"						#Rhodes
321 = "Qibriz"						#Kibris - Kipr
322 = "Kütahya"						#Kotyaeion
323 = "Quniyä"						#Ikonion
324 = "Larändä"						#Laranda - Larende/Karaman
325 = "Qastamonu"					#Paphlagonia - Kastamonu
326 = "Ängüriyyä"					#Ancyra/Ankara - Engüriye
327 = "Adana"						#Cilicia/Adana
328 = "Sinop"						#Sinope
329 = "Sivas"						#Sivas
330 = "Tirabizon"					#Trebizond
331 = "Ärzurum"						#Erzurum
341 = "Qartaca"						#Carthago - Karfagen - Begone Tunis thot
332 = "Ärmänäkya"					#Germanicia/Marash - Märäsh/Germäniciyä
358 = "Esgändäriyyä"				#Alexandria - Isgändäriyyä / Eskenderiye Iskenderiye ###
359 = "Fäyyum"						#Peiom
360 = "Qina"						#Kina/Qena
361 = "Memfis"						#Memphis
362 = "Räshit"						#Rashid - Räsit/Räshid
363 = "Dimyat"						#Tamiathis/Damietta a mod by neo 
364 = "Gäzzä"						#Gaza / Gazze / Qäzzä ###
365 = "Sinay"						#Sinai/Sina
377 = "Häläb"						#Aleppo
379 = "Ürisläm"						#Jerusalem - Yerusälim/Yerusalim
381 = "Dära"						#Daraa - Dera
382 = "Därmshûq"					#Damascus - Dämäshq/Darmshûq
394 = "Läkhsa"						#Al-Qatif/Hofuf - Häfuf/Äl-Xasa
396 = "Bähräyn"						#Bahrain
400 = "Mäsqät"						#Masqat/Muscat - Maskat
405 = "Tedmür"						#Tadmor/Palmyra
407 = "Gözälutku"					#Kallinikos/Güzelutku Huzihrperoz
408 = "Vähärdäshir"					#Basra - Bäsrä
410 = "Tizfun"						#Ctesiphon - Tizpon - not Bagdad/Baghdad
411 = "Ninova"						#Nineve - Nineviya
412 = "Hörmüzärdäshir"				#Hormuzdardasir/Ahvaz/Suqhuz - Hormizdartazir/Ähvaz
413 = "Shapurkhast"					#Shapurkhast/Khorramabad/Lorestan - Shähpurkhast/Luristan
414 = "Hämädan"						#Hamadan/Hemedan
415 = "Garmäkän"					#Karkha/Kirkuk/Garmekan - Kärkük
416 = "Täbriz"						#Tabriz
417 = "Lahican"						#Lahijan
418 = "Qara Amid"					#Diyarbekir - Diyarbäkir/Qara Amida
419 = "Irävan"						#Yerevan
420 = "Gäncä"						#Ganja
421 = "Baki"						#Baku/Shirvan - Lankaran/Bako/Bakube
424 = "Ärdäbil"						#Ardabil/Artavil
425 = "Daghistan"					#Dagestan/Daghistan - Dagistan
426 = "Amül"						#Amol/Amul 
427 = "Dähmoghan"					#Dehmoghan/Damghan/Komis/Qumis - Saddarvazeh/Saddarvazehpon
428 = "Tehran"						#Teheran
430 = "Reyshähr"					#Dashtestan/Dashtistan/Ram Ardashir/Reyshahr/Bushehr
431 = "Gömrük"						#Mogostan/Gamrun
433 = "Yäzd"						#Yazd/Yäyd
434 = "Kuhistan"					#Kohistan
436 = "Bircärd"						#Birjand/Birgerd - Bircänd
438 = "Qaraqum"						#Karakum
357 = "Derna"						#Darnah
437 = "Kopet Dagh"					#Kopetdog - Kopet Dagh
441 = "Khivä"						#Khiva
442 = "Bukhara"						#Bukhara
444 = "Çärcu"						#Charjuy - Çärcev
445 = "Märv"						#Merv
446 = "Herat"						#Herat
447 = "Qändähar"					#Kandahar
449 = "Qur"							#Ghor - Gur
450 = "Bälkh"						#Bactra/Bakhl
451 = "Qapil"						#Kabil/Kabul
452 = "Bädäkhshan"					#Badakhshan - Dädäkhshan/Dädäxshan
453 = "Qarsi"						#Nakshab/Qarshi - Näkhsab
454 = "Sämärqänd"					#Samarkand
455 = "Qizilqum"					#Kyzylkum
456 = "Türküstan"					#Turkestan
457 = "Dasqänd"						#Taskent - Taskänd
458 = "Khoqänd"						#Kokand/Hokand - Kokänd
459 = "Taraz"						#Taraz
460 = "Özqänd"						#Uzkend - Özkänd
463 = "Çärkäsya"					#Circassia - Çärkäzya/Çärkäziya/Çärkäsiya
466 = "Saray"						#Sarai
575 = "Quvadar"						#Gwadar
504 = "Tatta"						#Thatta
739 = "Qasqar"						#Kashgar
1076 = "Qorghan"					#Kurgan - Kurqan
1231 = "Svan"						#Aswan/Asvan - Suan
1764 = "Qirkhkilisä"				#Mesambria/Burgas/Pygros - Qirkhkilsä/Kirklareli
1765 = "Üçlämä"						#Triaditca/Sofia
1773 = "Ballibadra"					#Achaea/Patras	- Baliyabadra/Balyabadra
1846 = "Amasya"						#Amasya
1848 = "Egirdir"					#Baris
1849 = "Hamät"						#Hama/Emath
1853 = "Käsriyä"					#Kesriye/Manastir - Kesriyä
1854 = "Yäfä"						#Jaffa/Acre - Akka/Äkka
1855 = "Saydun"						#Sidon - Sayda
1856 = "Abkhazya"					#Abkhazia - Abkhaziya/Abhaziya/Abhazya
1967 = "Khürosqänd"					#Khujand/Kurushkand - Khüroskänd/Hüroskänd/Kircänd/Xücänd
1968 = "Khatlon"					#Khatlon/Khuttalan
1973 = "Ürgänc"						#Urgench/Gurganj
2078 = "Sädicav"					#Bannu
2086 = "Çölistan"					#Cholistan
2124 = "Yarqänd"					#Yarkand - Yarkänd
2195 = "Adigäya"					#Adyghe
