########################################################################################
#Vanilla Greek Names####################################################################
########################################################################################
104 = "Miláno"                      #Milan
101 = "Génova"                      #Genoa / Genova 
116 = "Florentía"                   #Firenze / Florendía
121 = "Neápolis"                    #Napoli / Naples
125 = "Pánormos"                    #Palermo
149 = "Adrianoúpolis"               #Adrianople Adrianoúpoli
151 = "Konstantinoúpolis"           #Constantinople Konstantinoúpoli
285 = "Theodosía"                   #Kaffa
317 = "Opsíkion"                    #Hüdavendigar Prussa
318 = "Smýrna"                      #Smyrna Smýrne
323 = "Ikónion"                     #Konya Iconion
327 = "Kilikía"                     #Adana / Cilicia
328 = "Sinópe"                      #Sinope
329 = "Sebásteia"                   #Sebasteia Sivasteia Sivas
330 = "Trapezoús"                   #Trapezoúnta Trebizond
357 = "Dárnis"                      #Darnah Darnis Darne
358 = "Aleksandreia"                #Alexandria Alexándreia
363 = "Tamíathis"                   #Damietta a mod by neo
396 = "Týlos"                       #Bahrain
418 = "Amida"                       #Ámida / Diyarbekir
1764 = "Mesembría"                  #Várna Burgas         #greek alt Mesambria / Pýrgos
1848 = "Báris"                      #Hamid / Ispárta Sparta
1934 = "Leukanía"                   #Lucania
2296 = "Abydos"                     #Biga Granikós Abudos
2297 = "Thrakesion"                 #Saruhan / Manísa
2304 = "Khaldía"                    #Amisós Chaldía Chaldia
2319 = "Lykópolis"                  #Lycopolis Lytkopolis / Shmin / Chémmis Chemmis Khemmis / Panopolis
2326 = "Petra Megale"               #Catabathmus Maior
2343 = "Adrramyta"                  #Kathiri
2348 = "Khíos"                      #Chios Chíos
2750 = "Philippoúpolis"             #Philippoúpoli Philippopolis / Plovdiv
2982 = "Syrakoúsai"                 #Syrakoúses Syracuse
2984 = "Kozéntsa"                   #Kozentsa Cosentia Consenza
4313 = "Gángra"                     #Kangiri
4315 = "Evdoksia"                   #Tokáti Tokat / Évdokiá

########################################################################################
#FoI Byzantine Names####################################################################
########################################################################################
1 = "Stokkhólmi"					#Stockholm / Stokchólmi
12 = "Zilandía"		 				#Sjælland / Sélan
14 = "Phionía"						#Fyn
44 = "Amboúrgo"						#Hamburg / Amvoúrgo
50 = "Berolíno"						#Berlin	/ Verolíno
52 = "Magdeboúrgo"				    #Magdeburg / Magdevoúrgo
61 = "Drésdi"						#Dresden / Saxony Saxonía
62 = "Leipsía"					    #Leipzig
63 = "Erfoúrti"					    #Thüringen Thouringía / Erfúrti
64 = "Lándskhout"                   #Landshut / Lántschout
65 = "Mónakho"						#München / Mónacho
66 = "Bambérgi"                     #Bamberg / Vamvérgi
67 = "Nyrembérgi"					#Nürnberg / Nyremvérgi
68 = "Mémingen"                     #Mémin'nken Memmingen
70 = "Stoutgárdhi"					#Stuttgart Stutgárdhi / Württemberg Vittembérgi
71 = "Ánsbakh"                      #Ansbach / Ánsmpach
72 = "Bráisgaou"                    #Breisgau Bráisnkaou / Freiburg Freibúrgo Freiboúrgo Freivúrgo
73 = "Inntal"                       #Inntal Innkoilás
74 = "Báden"						#Baden Bánten Vádi
75 = "Strasboúrgo"					#Elsass Alsatía / Strasvúrgo
76 = "Saltsboúrgo"                  #Salzburg / Saltsvoúrgo
77 = "Khaïdelbérgi"                 #Heidelberg Chaïdelvérgi Khaïdelvérgi
78 = "Magentía"                     #Mainz / Magendía
79 = "Výrtsboúrgo"                  #Würzburg Výrtsmpournk
80 = "Triéri"                       #Trier / Trir
81 = "Áno Éssi"						#Oberhessen Hesse / Essí
82 = "Vestphalía"                   #Westphalia Westfalen / Vestfalía
85 = "Kolonía"						#Köln / Cologne
87 = "Kalaí"                        #Calais
88 = "Artouá"                       #Artois
89 = "Pikardía"						#Picardie / Picardy
90 = "Phlándra"                     #Vlaanderen / Flándra
91 = "Ainó"                         #Hainaut
92 = "Bryxéllai"                    #Brussels / Vryxélles Vryxéllai
93 = "Liégi"						#Liège
94 = "Louxemboúrgo"                 #Luxembourg / Louxemvoúrgo
95 = "Bréda"                        #Breda / Brénta
96 = "Zilandhía"                    #Zeeland / Zilandía
97 = "Amstelódamo"                  #Amsterdam / Ámsterntam / Ámsterdam
98 = "Outrékhti"                    #Utrecht Utrékhti
102 = "Níkaia"						#Nice Nissa Nizza Nicaea
103 = "Touríno"                     #Turin / Turíno Turino
105 = "Párma"                       #Parma
106 = "Móntena"                     #Modena
107 = "Brésia"                      #Brescia Brixia
108 = "Veróna"                      #Verona
109 = "Mántova"                     #Mantua
110 = "Trénto"                      #Trentino Trento Trent
111 = "Phríouli"                    #Friuli / Fríouli
112 = "Venetía"                     #Venice Venetia
113 = "Pherrára"                    #Ferrara / Ferrára
114 = "Ravénna"                     #Ravenna
115 = "Píza"						#Pisa
117 = "Siéna"                       #Siena / Saena Julia
118 = "Rhómi"                       #Rome Rómi Rhóme
119 = "Ankóna"                      #Ancona Ankón
120 = "Abroútso"                    #Abruzzi / Abruzzo / Amproútso
122 = "Salénto"						#Salento
123 = "Kalabría"                    #Calabria Calavría Kalavri
124 = "Messéne"                     #Messina
126 = "Melíte"						#Malta
127 = "Sássari"                     #Sassari
128 = "Káto Karinthía"              #Unterkärnten
129 = "Karnióla"                    #Krain
130 = "Istría"                      #Istria
131 = "Zágkreb"					    #Zagreb Ágrano Ágranon Agranum Agranoúm / Zágkremb
132 = "Styría"						#Steiermark
