####################################################################################
###Vanilla Names####################################################################
####################################################################################
#Anglia
233 = "Cornubia"						#Cornwall
234 = "Hantonia"						#Hampshire
235 = "Cantium"							#Kent
236 = "Londinium"						#London
237 = "Oxonia"							#Oxford/Oxonium
239 = "Glevum"							#Gloucester
241 = "Clamorgania"						#Glamorgan
242 = "Venedotia"						#Gwynedd
243 = "Lindum"							#Lincolnshire/Lindum Colonia
245 = "Eboracum"						#York - Eburacum
246 = "Northumbria"						#Northumberland
247 = "Cumbria"							#Cumbria
1860 = "Norfolcia"						#Norfolk/Boreales Vulgares

#Gallia
89 = "Picardia"							#Picardie
167 = "Rothomagus"						#Caux/Rouen
169 = "Armorica"						#Armor
170 = "Finis Terrae"					#Finistère/ Finisterrae - Finis Terræ
173 = "Lapurdum"						#Labourd/Lapurdia
174 = "Burdigala"						#Bordeaux rather than Gascogne
175 = "Augusta Auscorum"				#Armagnac/Auch (shorten to Auscorum?)
176 = "Benearnia"						#Béarn/Beneharnia - Beneharnum/Bearnia
177 = "Cenomanum"						#Maine/Cenomannica/Cenomanensis/Suindinum
178 = "Andecavis"						#Anjou/Ager/Andegavensis/Andegavinus/Andegavum/Andecavi
179 = "Avaricum Biturigum"				#Berry/Bituria/Bourges (Biturigum?)/Avaricum
182 = "Compendium"						#Valois/Noviomum/Veromanduorum/Noviomagus Veromanduorum
183 = "Lutetia"							#Paris/Lutetia Parisiorum/Parisius/Civitas Parisiorum
184 = "Aurelianium"						#Orleanais/Aurelianum/Aurelia
186 = "Durocortorum"					#Reims/Durocortorum Remorum
187 = "Barrum"							#Barrois/Verodunum
188 = "Mettis"							#Metz/Divodurum Mediomatricum/Mediomatricum
189 = "Lotharingia"						#Lothringen/Lorraine
190 = "Burbonia"						#Bourbonnais
191 = "Nivernum"						#Nivernais/Nevirnum
193 = "Liber Comitatus"					#Franche-Comté
195 = "Augustoritum"					#Limousin/Lemovicensis/Civitas Lemovicum/Augustoritum Lemovicum
196 = "Tolosa"							#Toulouse
198 = "Segodunum"						#Rouergue
199 = "Arvernia"						#Auvergne/Augustonemetum
201 = "Aquae Sextiae"					#Aix/Aix-en-Provence, though Massilia may be more recognizable.
203 = "Lugdunum"						#Lyonnais
204 = "Delphinatus"						#Dauphiné/Delphinatus Viennensis in full, equivalent to fr Dauphiné Viennois
1743 = "Cameracum"						#Cambray/Camaracum
1877 = "Quadrigellae"					#Charolais
1879 = "Alenconium"						#Alençon
2753 = "Narbo"							#Narbonne/Narbo Martius
4111 = "Mediolanum Santonum"			#Saintonge/Santones/Saintes (Santonum?)
4112 = "Cadurcum"						#Quercy

#Iberia
#No names found for: Cuenca #Found one now pay me paradox (sarcasm)
206 = "Brigantium"						#Corunna
207 = "Asturiae"						#Asturias
208 = "Legio"							#León
209 = "Biscaia"							#Vizcaya
211 = "Pyrenaei"						#Huesca/Osca
212 = "Gerunda"							#Girona
214 = "Caesaraugusta"					#Zaragoza
215 = "Valdoletum"						#Valladolid
217 = "Matritum"						#Madrid/Mantua Carpetanorum
218 = "Emerita Augusta"					#Mérida/Can't find latin name for Badajoz, so went with nearby Merida
219 = "Toletum"							#Toledo
220 = "Valentia"						#València
224 = "Hispalis"						#Hispális
225 = "Corduba"							#Córdoba
226 = "Mons Calpe"						#La Roca
227 = "Olisipo"							#Ossonoba/Lisbon
228 = "Viso"							#Beira
230 = "Ossonoba"						#Silves/Cilpes
231 = "Portus Cale"						#Porto
232 = "Brigantia"						#Bragança
1746 = "Burgi"							#Burgos
1747 = "Norba Caesarina"				#Caceres/Norba
1748 = "Gaiena"							#Gaiena/Villa Gaiena 
1749 = "Gades"							#Gades
1750 = "Lucentum"						#Acraleuke/Castrum Album
1851 = "Conimbriga"						#Coimbra
2754 = "Manica"							#La Mancha
2755 = "Oria"							#Soria/Disputed
2987 = "Urgellum"						#Urgell
2988 = "Tarraco"						#Tarragona/Tarracona
2989 = "Rioiia"							#Rioja/Rivogia/Rioxa
2990 = "Terulium"						#Teruel/Turba

#Italia
101 = "Genua"							#Genoa
102 = "Nicaea"							#Nice/Nicaea ad Varum
103 = "Augusta Taurinorum"				#Turin
104 = "Mediolanum"						#Milan
107 = "Brixia"							#Brescia
111 = "Forum Iulii"						#Friuli
112 = "Venetiae"						#Venezia
113 = "Ferraria"						#Ferrara
114 = "Ravenna"							#Ravenna
115 = "Pisae"							#Pisa
116 = "Florentia"						#Firenze
117 = "Sena Iulia"						#Siena/Sena
120 = "Aprutium"						#Abruzzi
121 = "Neapolis"						#Napoli/Nova Urbs/Campania
122 = "Sallentum"						#Salento/Ager Sallentinus
123 = "Bruttium"						#Calabria
124 = "Messana"							#Messina
125 = "Panormus"						#Palermo/Panhormus
126 = "Melita"							#Malta
127 = "Sassaris"						#Sassari
1774 = "Tarvisium"						#Treviso
1875 = "Cuneum"							#Cuneo
1933 = "Barium"							#Bari
2976 = "Perusia"						#Perugia
2977 = "Urbinum"						#Urbino
2978 = "Arretium"						#Arezzo
2979 = "Novaria"						#Novara
2980 = "Luca"							#Lucca
2981 = "Mons Ferratus"					#Montferrat/Mons Farratus/Mons Pharatus
2982 = "Syracusae"						#Syracuse
2983 = "Salernum"						#Salerno
2984 = "Consentia"						#Cosenza
2985 = "Fovea"							#Capitanata/Fodiana
2986 = "Caralis"						#Cagliari
2992 = "Albingaunum"					#Albenga
4727 = "Salutiae"						#Saluzzo
4728 = "Ticinum"						#Pavia/Papia
4729 = "Patavium"						#Padua
4730 = "Bononia"						#Bologna
4732 = "Tarracina"						#Terracina
4733 = "Campus Vassorum"				#Molise/ Molisium
4734 = "Abellinum"						#Avellino
4736 = "Drepanum"						#Trapani
4737 = "Agrigentum"						#Girgenti
4738 = "Tergeste"						#Triest/Tergestum
4739 = "Bergomum"						#Bergamo
4740 = "Comum"							#Como/Novum Comum

#Illyria/Balcania
131 = "Zagrabia"						#Zagreb
136 = "Spalatum"						#Spalato
137 = "Ragusium"						#Ragusa
138 = "Dioclea"							#Zeta
139 = "Zachlumia"						#Hum/Chelmania
142 = "Corcyra"							#Corfu
146 = "Athenae"							#Athens
147 = "Thessalia"						#Thessaly
149 = "Adrianopolis"					#Adrianople/Hadrianopolis
151 = "Constantinopolis"				#Constantinople
159 = "Durostorum"						#Silistria
163 = "Creta"							#Crete
164 = "Naxos"							#Naxos
1764 = "Mesembria"						#Mesembria/Burgas/Burgus
1765 = "Serdica"						#Triaditca
1766 = "Kosovia"						#Kosovo/Dardania
1767 = "Sclavonia"						#Slavonia
1773 = "Achaia"							#Achaea
1828 = "Partes Inferiores"				#Donji Kraji
1853 = "Castoria"						#Kastoria
2746 = "Bononia"						#Vidin
2750 = "Philippopolis"					#Filipe/Plovdiv
3000 = "Naissus"						#Nis
3001 = "Scopia"							#Skupia/Scupi
3002 = "Visoka"							#Visoki
4701 = "Corinthus"						#Corinth
4702 = "Sirra"							#Serres/Serrhae
4752 = "Flumen"							#Rijeka - Fiume/Tarsatica/Vitopolis
4753 = "Iader"							#Zadar/Zara/Iadera
4755 = "Drina Vallis"					#Podrinje/Drina - Drinus
4779 = "Callipolis"						#Gallipoli

#Asia Minor
318 = "Smyrna"							#Smyrna/Zmyrna
319 = "Mylasa"							#Mylasa
320 = "Rhodus"							#Rhodes/Rhodos
322 = "Cotyaeum"						#Kotyaion
323 = "Iconium"							#Iconium
324 = "Lycaonia"						#Laranda
325 = "Paphlagonia"						#Kastamonu
326 = "Galatia"							#Ancyra
327 = "Cilicia"							#Cilicia
328 = "Sinope"							#Sinope
329 = "Sebastea"						#Sebasteia
330 = "Trapezus"						#Trapezus
332 = "Germanicia"						#Germanicia
418 = "Amida"							#Amida
1848 = "Caria"							#Baris
2296 = "Abydus"							#Abydos
2303 = "Melitene"						#Malatya
2304 = "Chaldia"						#Canik
2305 = "Acilisene"						#Erzincan
2306 = "Taraunitis"						#Mush/Taron
2307 = "Arsissa"						#Van/Vanus

#Mashriq
378 = "Tripolis Libanitis"				#Athar/Tripolis #Or just Libanus (Lebanon)
379 = "Hierosolyma"						#Jerusalem/Judaea 
405 = "Palmyra"							#Tadmor
407 = "Callinicum"						#Kallinikos 
410 = "Ctesiphon"						#Mahuza/Mesopotamia
1849 = "Epiphania"						#Emath/Epiphaneia
2309 = "Singara"						#Sinra

#Aegyptus
357 = "Darnis"							#Kyrene
360 = "Maximianopolis"					#Kone/Thebae
363 = "Tamiathis"						#Tamiathis/Damietta
1231 = "Syene"							#Syene
2319 = "Lycopolis"						#Shmin
2321 = "Leucos Limen"					#He Neooni
2325 = "Paraetonium"					#Terenuthis
2326 = "Petras Maior"					#Petra Megale

#Africa
334 = "Tingis"							#Tangis
336 = "Pomaria"							#Talimsan
