################################################################################################
#FoI Ruthenian Names############################################################################
################################################################################################
19 = "Mykolaystad"				#Österbotten/Nikolaistadt
27 = "Torh"						#Åbo/Turku/Torg - Abo/Obu/Túrku
28 = "Hel’sinhfors"				#Nyland/Helsingfors
29 = "Tammerfors"				#Tavastland
30 = "Výborh"					#Viborg/Vyborg
31 = "Sankt-Mikhél’"			#Savolax/Sankt Michel - Svyatyy Mykhaylo
32 = "Pryozers’k"				#Kexholm - Korela
33 = "Nevá"						#Neva
34 = "Izhoriya"					#Ingermanland - Inhriya/Inhermanlandija
35 = "Ézel’"					#Ösel
37 = "Perniv"					#Livland/Pernov
43 = "Hdans’k"					#Gdansk
60 = "Budyshyn"					#Bautzen
118 = "Rym"						#Roma
135 = "Bánat"					#Banat
149 = "Adrianopol’"				#Adrianople
151 = "Tsarhórod"				#Constantinople - Carhorod/Tsargorod/Konstantynopol’/Kostyantynopol’
153 = "Pechéra"					#Pestera
154 = "Nóve Zámky"				#Nove Zamky
155 = "Bérehovo"				#Bregovo
157 = "Holjámhrád"				#Golemgrad - Holjámhórod
158 = "Marosh"					#Maros - Muresh
160 = "Oltenija"				#Oltenia
161 = "Tyrhóvishte"				#Tirgoviste
162 = "Prjáshiv"				#Zemplin/Prešov/Prashev - Prjášiv
254 = "Póznan’"					#Poznan
255 = "Kalish"					#Kalisz
256 = "Plots’k"					#Plock - Ploc’k
257 = "Varsháva"				#Warsaw
258 = "Seradz"					#Sieradz - Sjeradz
259 = "Sandómyr"				#Sandomierz - Sudomyr
260 = "Ljúblin"					#Lubin - Ljublyn
261 = "Hálych"					#Halych - Hályc
262 = "Krákiv"					#Krakow
263 = "Ratybór"					#Ratibor
264 = "Vrótslav"				#Breslau - Vróclav
266 = "Práha"					#Prague
267 = "Pl’zen’"					#Plzen
268 = "Sucháva"					#Suceava
269 = "Pidljáshshja"			#Podlasie
270 = "Tróky"					#Trakai - Trakáj
271 = "Zhmud’"					#Samogitia - Zhemájtija
272 = "Víl’no"					#Vilna - Víl’na/Vyl’na/Víl’ne/Víl’nja
275 = "Pólots’k"				#Polotsk - Póloc’k
276 = "Míns’k"					#Minsk
277 = "Beréstja"				#Brest - Brest/Bérest’
278 = "Pýns’k"					#Pinsk - Pýns’ke/Píns’k
279 = "Volýn’"					#Volhynia
280 = "Kýjiv"					#Kyiv/Kiev
281 = "Podíllja"				#Podolia
282 = "Yedysán"					#Yedisan - Odesa
283 = "Zaporízhzhja"			#Zaporozhia/Krivoi Rog - Zaporízzja/Kryvyýj Ríh
284 = "Krym"					#Crimea
285 = "Feodósija"				#Theodosia/Feodosia - Teodósija
286 = "Azív"					#Azov - Azóv/Ozív
287 = "Kubán’"					#Kuban/Yekaterinodar - Nova Sich/Yekaterynodar
