####################################################################################
###Vanilla Names####################################################################
####################################################################################
111 = "Furlanija"	#Friuli / Tarvisio Trbiz
112 = "Benetke"		#Venezia
114 = "Ravena"		#Ravenna
118 = "Rim"			#Roma
120 = "Abruci"		#Abruzzi / Abruzzo
128 = "Celovec"		#Klagenfurt / Unterkärnten - Spodnja Koroška
129 = "Kranjska"	#Krain
130 = "Istra"		#Istria
131 = "Zagreb"		#Zagreb
133 = "Linec"		#Linz
142 = "Krf"			#Corfu
146 = "Atene"		#Athens
148 = "Solun"		#Salonik
149 = "Adrianopel"	#Edirne / Adrianople
1769 = "Gorica"		#Gorz
1772 = "Bratislava"	#Pozsony / Pressburg / Nitra
1773 = "Ahaja"		#Achaea
1863 = "Gradec"		#Graz
4174 = "Drac"		#Durres
4701 = "Korint"		#Corinth
4733 = "Molize"		#Molise
4738 = "Trst"		#Trieste
4751 = "Celje"		#Cilli
4752 = "Reka"		#Rijeka
4753 = "Zadar"		#Zadar
4759 = "Beljak"		#Villach / Oberkärnten - Zgornja Koroška

####################################################################################
###FoI Names########################################################################
####################################################################################
60 = "Budišin"				#Bautzen
76 = "Malo Solnograd"		#Salzburg
101 = "Genova"				#Genoa
103 = "Torino"				#Turin
104 = "Milano"				#Milan
109 = "Mantova"				#Mantua
110 = "Trentinsko"			#Trentino / Trento/Trentinska
116 = "Firence"				#Firenze
117 = "Sijena"				#Siena
119 = "Ankona"				#Ancona
121 = "Napulj"				#Napoli
122 = "Apulija"				#Apulia
123 = "Kalabrija"			#Calabria
125 = "Panormos"			#Palermo
126 = "Mljet"				#Melita
132 = "Štajerska"			#Styria / Steiermark
134 = "Dúnaj"				#Wien
136 = "Split"				#Spalato
137 = "Dubrovnik"			#Ragusa
138 = "Crna Gora"			#Zeta
139 = "Zahumlje"			#Hum / Zahumje
140 = "Bosna"				#Bosnia
143 = "Vlora"				#Vlöre
144 = "Epir"				#Epirus
145 = "Moreja"				#Morea
147 = "Tesalija"			#Thessaly
150 = "Tugorska"			#Nikopolj
151 = "Konstantinopel"		#Constantinople/Thrace / Carigrad
152 = "Drávograd"			#Dravograd / Varaždin/Varasd
153 = "Pecina"				#Pest - Pesta/Pešta
154 = "Nové Zámky"			#Nove Zamky
156 = "Timišgrad"			#Temes
158 = "Moriš"				#Mures
159 = "Silistra"			#Silistria
160 = "Oltenija"			#Oltenia
161 = "Trgovište"			#Tirgoviste / Târgoviste
162 = "Košice"				#Košice / Zemplin
163 = "Kreta"				#Crete
164 = "Kikladi"				#Naxos / Cyclades
264 = "Vratislavija"		#Breslau
266 = "Praga"				#Prague
267 = "Plzenj"				#Plzen
320 = "Rod"					#Rhodes / Rodos
321 = "Kiper"				#Cyprus / Ciper
358 = "Aleksandríja"		#Alexandria
379 = "Jerúzalem"			#Jerusalem
1247 = "Korzika"			#Corsica
1318 = "Spiš"				#Szepes/Spis
